2020-06-27 17:18:16,807 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:17,169 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:17,170 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:17,420 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:17,421 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:17,693 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:17,693 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,001 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,001 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,271 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,271 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,542 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,542 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:18,880 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:18,880 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:19,129 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:19,129 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:19,425 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:19,426 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:19,793 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:19,793 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:20,043 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:20,043 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:20,313 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:20,313 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:20,629 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:20,629 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:20,883 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:20,884 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:21,155 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:21,156 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:21,492 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:21,493 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:21,741 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:21,741 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:22,011 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:22,012 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:22,326 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:22,326 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:22,578 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:22,578 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:22,829 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:22,829 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:23,116 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:23,117 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:23,368 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:23,368 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:23,619 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:23,620 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:23,918 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:23,918 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:24,169 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:24,169 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:24,419 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:24,420 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:24,720 INFO __main__ center:640   x_medium: 640  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:24,720 INFO __main__ centerY:360   y_medium: 360  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:24,774 INFO __main__ center:640   x_medium: 764  <max 475 |mid 420 | min 300> Position: 408
2020-06-27 17:18:24,774 INFO __main__ centerY:360   y_medium: 479  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:24,832 INFO __main__ center:640   x_medium: 764  <max 475 |mid 420 | min 300> Position: 406
2020-06-27 17:18:24,833 INFO __main__ centerY:360   y_medium: 479  <max 375 |mid 350 | min 200> PositionY: 352
2020-06-27 17:18:24,892 INFO __main__ center:640   x_medium: 764  <max 475 |mid 420 | min 300> Position: 404
2020-06-27 17:18:24,892 INFO __main__ centerY:360   y_medium: 479  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:24,951 INFO __main__ center:640   x_medium: 353  <max 475 |mid 420 | min 300> Position: 406
2020-06-27 17:18:24,952 INFO __main__ centerY:360   y_medium: 78  <max 375 |mid 350 | min 200> PositionY: 356
2020-06-27 17:18:25,011 INFO __main__ center:640   x_medium: 460  <max 475 |mid 420 | min 300> Position: 408
2020-06-27 17:18:25,011 INFO __main__ centerY:360   y_medium: 104  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:25,069 INFO __main__ center:640   x_medium: 404  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:25,070 INFO __main__ centerY:360   y_medium: 260  <max 375 |mid 350 | min 200> PositionY: 352
2020-06-27 17:18:25,128 INFO __main__ center:640   x_medium: 404  <max 475 |mid 420 | min 300> Position: 412
2020-06-27 17:18:25,129 INFO __main__ centerY:360   y_medium: 260  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:25,187 INFO __main__ center:640   x_medium: 404  <max 475 |mid 420 | min 300> Position: 414
2020-06-27 17:18:25,188 INFO __main__ centerY:360   y_medium: 260  <max 375 |mid 350 | min 200> PositionY: 348
2020-06-27 17:18:25,246 INFO __main__ center:640   x_medium: 404  <max 475 |mid 420 | min 300> Position: 416
2020-06-27 17:18:25,247 INFO __main__ centerY:360   y_medium: 260  <max 375 |mid 350 | min 200> PositionY: 346
2020-06-27 17:18:25,305 INFO __main__ center:640   x_medium: 291  <max 475 |mid 420 | min 300> Position: 418
2020-06-27 17:18:25,305 INFO __main__ centerY:360   y_medium: 238  <max 375 |mid 350 | min 200> PositionY: 344
2020-06-27 17:18:25,365 INFO __main__ center:640   x_medium: 357  <max 475 |mid 420 | min 300> Position: 420
2020-06-27 17:18:25,366 INFO __main__ centerY:360   y_medium: 279  <max 375 |mid 350 | min 200> PositionY: 342
2020-06-27 17:18:25,431 INFO __main__ center:640   x_medium: 436  <max 475 |mid 420 | min 300> Position: 422
2020-06-27 17:18:25,432 INFO __main__ centerY:360   y_medium: 292  <max 375 |mid 350 | min 200> PositionY: 340
2020-06-27 17:18:25,493 INFO __main__ center:640   x_medium: 338  <max 475 |mid 420 | min 300> Position: 424
2020-06-27 17:18:25,493 INFO __main__ centerY:360   y_medium: 315  <max 375 |mid 350 | min 200> PositionY: 338
2020-06-27 17:18:25,551 INFO __main__ center:640   x_medium: 428  <max 475 |mid 420 | min 300> Position: 426
2020-06-27 17:18:25,551 INFO __main__ centerY:360   y_medium: 377  <max 375 |mid 350 | min 200> PositionY: 336
2020-06-27 17:18:25,605 INFO __main__ center:640   x_medium: 428  <max 475 |mid 420 | min 300> Position: 428
2020-06-27 17:18:25,605 INFO __main__ centerY:360   y_medium: 377  <max 375 |mid 350 | min 200> PositionY: 336
